Time,X_Traj,Y_Traj,X_ActPos,Y_ActPos,X_ActVelo,Y_ActVelo,XY Position X,XY Position Y
28.9,0.331776,0.248832,0.0792,0.0742,5.459569262,5.100084551,0.0792,0.0742
29,0.334084,0.250563,0.0806,0.0754,5.544127982,5.168400546,0.0806,0.0754
29.1,0.3364,0.2523,0.082,0.0767,5.627849487,5.245941135,0.082,0.0767
29.2,0.338724,0.254043,0.0835,0.0781,5.720643057,5.332614985,0.0835,0.0781
29.3,0.341056,0.255792,0.0849,0.0794,5.802616888,5.408529688,0.0849,0.0794
29.4,0.343396,0.257547,0.0864,0.0808,5.893680087,5.49359375,0.0864,0.0808
29.5,0.345744,0.259308,0.088,0.0823,5.99374266,5.587716585,0.088,0.0823
29.6,0.3481,0.261075,0.0895,0.0837,6.082913525,5.671006519,0.0895,0.0837
29.7,0.350464,0.262848,0.0912,0.0852,6.19100349,5.763372792,0.0912,0.0852
29.8,0.352836,0.264627,0.0928,0.0867,6.288122268,5.854824546,0.0928,0.0867
29.9,0.355216,0.266412,0.0946,0.0883,6.404081453,5.955271828,0.0946,0.0883
30,0.357604,0.268203,0.0963,0.0898,6.508991538,6.044823592,0.0963,0.0898
30.1,0.36,0.27,0.098,0.0914,6.612862909,6.143389695,0.098,0.0914
30.2,0.362404,0.271803,0.0998,0.093,6.72560684,6.240979896,0.0998,0.093
30.3,0.364816,0.273612,0.1016,0.0946,6.837234495,6.337603857,0.1016,0.0946
30.4,0.367236,0.275427,0.1035,0.0962,6.957657916,6.433271146,0.1035,0.0962
30.5,0.369664,0.277248,0.1054,0.0978,7.076889026,6.527991234,0.1054,0.0978
30.6,0.3721,0.279075,0.1072,0.0994,7.185038639,6.621773499,0.1072,0.0994
30.7,0.374544,0.280908,0.1091,0.101,7.302018455,6.714627226,0.1091,0.101
30.8,0.376996,0.282747,0.1111,0.1027,7.427741044,6.8164626,0.1111,0.1027
30.9,0.379456,0.284592,0.113,0.1044,7.542317866,6.917289703,0.113,0.1044
31,0.381924,0.286443,0.115,0.106,7.665661253,7.007217528,0.115,0.106
31.1,0.3844,0.2883,0.1169,0.1077,7.777882429,7.106155968,0.1169,0.1077
